user_id,user_name,course_id,course_name,rating,timestamp
42,User_42,147,Course_47,2,2024-06-16
9,User_9,112,Course_12,4,2024-02-12
36,User_36,133,Course_33,1,2024-05-16
82,User_82,105,Course_5,5,2024-01-22
24,User_24,145,Course_45,4,2024-04-21
93,User_93,108,Course_8,2,2024-04-12
89,User_89,101,Course_1,5,2024-05-01
69,User_69,126,Course_26,1,2024-06-09
43,User_43,133,Course_33,4,2024-04-10
96,User_96,102,Course_2,3,2024-04-07
31,User_31,139,Course_39,3,2024-03-04
6,User_6,126,Course_26,4,2024-03-05
46,User_46,120,Course_20,5,2024-01-05
22,User_22,125,Course_25,1,2024-02-10
61,User_61,109,Course_9,2,2024-01-21
56,User_56,118,Course_18,5,2024-03-30
72,User_72,102,Course_2,3,2024-02-10
79,User_79,107,Course_7,2,2024-04-28
95,User_95,146,Course_46,3,2024-01-02
95,User_95,101,Course_1,2,2024-03-10
70,User_70,123,Course_23,5,2024-06-12
50,User_50,106,Course_6,4,2024-04-16
49,User_49,131,Course_31,1,2024-01-27
28,User_28,128,Course_28,4,2024-06-18
82,User_82,109,Course_9,3,2024-05-18
34,User_34,103,Course_3,4,2024-04-08
70,User_70,146,Course_46,3,2024-04-03
56,User_56,118,Course_18,5,2024-05-12
88,User_88,113,Course_13,3,2024-03-10
59,User_59,144,Course_44,4,2024-06-20
84,User_84,139,Course_39,5,2024-04-14
8,User_8,132,Course_32,4,2024-01-10
90,User_90,138,Course_38,5,2024-01-20
86,User_86,107,Course_7,1,2024-01-21
22,User_22,140,Course_40,4,2024-04-30
33,User_33,136,Course_36,3,2024-03-24
38,User_38,125,Course_25,3,2024-04-27
49,User_49,136,Course_36,5,2024-01-26
31,User_31,147,Course_47,4,2024-03-26
49,User_49,111,Course_11,4,2024-03-24
99,User_99,134,Course_34,4,2024-06-10
97,User_97,137,Course_37,4,2024-03-27
20,User_20,140,Course_40,3,2024-05-07
83,User_83,108,Course_8,1,2024-06-23
96,User_96,125,Course_25,4,2024-06-21
9,User_9,145,Course_45,3,2024-06-05
75,User_75,135,Course_35,3,2024-06-16
2,User_2,129,Course_29,1,2024-01-06
43,User_43,102,Course_2,5,2024-03-18
96,User_96,137,Course_37,2,2024-03-11
97,User_97,121,Course_21,4,2024-06-15
93,User_93,136,Course_36,1,2024-05-14
89,User_89,145,Course_45,5,2024-04-13
74,User_74,107,Course_7,3,2024-01-08
79,User_79,134,Course_34,1,2024-02-29
89,User_89,118,Course_18,1,2024-03-22
41,User_41,144,Course_44,1,2024-05-08
